name,Length,Width,thickness,area,WperM,Cxx,Cyy,Exx,Eyy,Ixx,Iyy,Iuu,Izz,rxx,ryy,ruu,rzz,Zxx,Zyy,Ixy
ISA 50x30x6,50,30,6,4.47,3.5,1.76,0.78,3.24,2.22,10.9,2.9,11.9,1.8,1.56,0.8,1.64,0.63,3.4,1.3,3.1
ISA 60x40x5,60,40,5,4.76,3.7,1.95,0.96,4.05,3.04,16.9,6,19.5,3.4,1.89,1.12,2.02,0.85,4.2,2,5.8
ISA 65x45x5,65,45,5,5.26,4.1,2.07,1.08,4.43,3.42,22.1,8.6,25.9,4.8,2.05,1.28,2.22,0.96,5,2.5,8
ISA 70x45x5,70,45,5,5.52,4.3,2.27,1.04,4.73,3.46,27.2,8.8,30.9,5.1,2.22,1.26,2.36,0.96,5.7,2.5,8.9
ISA 60x40x6,60,40,6,5.65,4.4,1.99,1,4.01,3,19.9,7,22.8,4,1.88,1.11,2.01,0.85,5,2.3,6.8
ISA 75x50x5,75,50,5,6.02,4.7,2.39,1.16,5.11,3.84,34.1,12.2,39.4,6.9,2.38,1.42,2.56,1.07,6.7,3.2,11.8
ISA 65x45x6,65,45,6,6.25,4.9,2.11,1.12,4.39,3.38,26,10.1,30.4,5.7,2.04,1.27,2.21,0.95,5.9,3,9.4
ISA 80x50x5,80,50,5,6.27,4.9,2.6,1.12,5.4,3.88,40.6,12.3,45.7,7.2,2.55,1.4,2.7,1.07,7.5,3.2,12.9
ISA 70x45x6,70,45,6,6.56,5.2,2.32,1.09,4.68,3.41,32,10.3,36.3,6,2.21,1.25,2.35,0.96,6.8,3,10.5
ISA 75x50x6,75,50,6,7.16,5.6,2.44,1.2,5.06,3.8,40.3,14.3,46.4,8.2,2.37,1.41,2.55,1.07,8,3.8,13.9
ISA 60x40x8,60,40,8,7.37,5.8,2.07,1.08,3.93,2.92,25.4,8,29,5.2,1.86,1.1,1.98,0.84,6.5,3,8.5
ISA 80x50x6,80,50,6,7.46,5.9,2.64,1.16,5.36,3.84,48,14.4,53.9,8.5,2.54,1.39,2.69,1.07,9,3.8,15.2
ISA 65x45x8,65,45,8,8.17,6.4,2.19,1.2,4.31,3.3,33.2,12.8,38.7,7.4,2.02,1.25,2.18,0.95,7.7,3.9,11.8
ISA 70x45x8,70,45,8,8.58,6.7,2.4,1.16,4.6,3.34,41,13.1,46.3,7.8,2.19,1.24,2.32,0.95,8.9,3.9,13.2
ISA 90x60x6,90,60,6,8.65,6.8,2.87,1.39,6.13,4.61,70.6,25.2,81.5,14.3,2.86,1.71,3.07,1.28,11.5,5.5,24.5
ISA 75x50x8,75,50,8,9.38,7.4,2.52,1.28,4.98,3.72,51.8,18.3,59.4,10.6,2.35,1.4,2.52,1.06,10.4,4.9,17.7
